epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.2325,0.91595,0.69639,1,0.72266,0.00331858,0.00331858,0.00331858
2,21.7624,0.68071,0.64228,1,0.80374,0.00658606,0.00658606,0.00658606
3,30.5769,0.74905,0.61122,1,1.31366,0.00978754,0.00978754,0.00978754
4,39.3572,0.8962,0.54409,1,1.16104,0.009703,0.009703,0.009703
5,48.2034,0.76707,0.73848,1,0.63135,0.009604,0.009604,0.009604
6,56.76,0.65938,0.58918,1,1.27365,0.009505,0.009505,0.009505
7,65.6156,0.62067,0.8006,1,0.49052,0.009406,0.009406,0.009406
8,74.1985,0.53949,0.70641,1,0.76886,0.009307,0.009307,0.009307
9,82.8433,0.51913,0.77856,1,0.54044,0.009208,0.009208,0.009208
10,91.4703,0.47897,0.83567,1,0.41862,0.009109,0.009109,0.009109
11,100.015,0.45452,0.79058,1,0.53423,0.00901,0.00901,0.00901
12,108.588,0.44344,0.85972,1,0.41768,0.008911,0.008911,0.008911
13,117.309,0.40013,0.84369,1,0.43326,0.008812,0.008812,0.008812
14,126.184,0.40208,0.88477,1,0.32582,0.008713,0.008713,0.008713
15,134.913,0.37543,0.87876,1,0.33432,0.008614,0.008614,0.008614
16,143.872,0.35767,0.85872,1,0.36697,0.008515,0.008515,0.008515
17,152.734,0.34441,0.86673,1,0.40034,0.008416,0.008416,0.008416
18,161.419,0.35665,0.88778,1,0.27502,0.008317,0.008317,0.008317
19,170.358,0.30551,0.8016,1,0.50809,0.008218,0.008218,0.008218
20,179.016,0.31302,0.88076,1,0.35463,0.008119,0.008119,0.008119
21,189.412,0.30567,0.9018,1,0.2859,0.00802,0.00802,0.00802
22,200.878,0.28053,0.9018,1,0.28856,0.007921,0.007921,0.007921
23,212.442,0.27851,0.91984,1,0.23764,0.007822,0.007822,0.007822
24,223.941,0.26506,0.8978,1,0.27679,0.007723,0.007723,0.007723
25,235.824,0.26912,0.91483,1,0.25914,0.007624,0.007624,0.007624
26,246.281,0.26984,0.90782,1,0.25042,0.007525,0.007525,0.007525
27,255.506,0.25665,0.92485,1,0.27326,0.007426,0.007426,0.007426
28,264.3,0.23799,0.87876,1,0.29853,0.007327,0.007327,0.007327
29,273.698,0.22757,0.91583,1,0.27205,0.007228,0.007228,0.007228
30,282.892,0.22722,0.8998,1,0.2737,0.007129,0.007129,0.007129
31,292.034,0.21862,0.87876,1,0.34008,0.00703,0.00703,0.00703
32,301.276,0.21994,0.91683,1,0.2363,0.006931,0.006931,0.006931
33,310.33,0.20161,0.92385,1,0.22999,0.006832,0.006832,0.006832
34,318.974,0.19414,0.93086,1,0.20829,0.006733,0.006733,0.006733
35,327.683,0.19606,0.93788,1,0.18991,0.006634,0.006634,0.006634
36,336.595,0.19337,0.93988,1,0.17837,0.006535,0.006535,0.006535
37,345.368,0.18513,0.90381,1,0.276,0.006436,0.006436,0.006436
38,354.25,0.17896,0.93788,1,0.17835,0.006337,0.006337,0.006337
39,363.279,0.17166,0.95591,1,0.1519,0.006238,0.006238,0.006238
40,372.111,0.16807,0.91483,1,0.23891,0.006139,0.006139,0.006139
41,381.042,0.15695,0.9489,1,0.18113,0.00604,0.00604,0.00604
42,389.547,0.16326,0.94088,1,0.20437,0.005941,0.005941,0.005941
43,398.388,0.15473,0.94589,1,0.16357,0.005842,0.005842,0.005842
44,407.119,0.1466,0.9489,1,0.18384,0.005743,0.005743,0.005743
45,415.804,0.15053,0.9489,1,0.17196,0.005644,0.005644,0.005644
46,424.379,0.13957,0.94088,1,0.18009,0.005545,0.005545,0.005545
47,433.194,0.14677,0.94589,1,0.17447,0.005446,0.005446,0.005446
48,441.88,0.13638,0.95591,1,0.12353,0.005347,0.005347,0.005347
49,450.496,0.14209,0.95691,1,0.14291,0.005248,0.005248,0.005248
50,459.454,0.13384,0.95291,1,0.15869,0.005149,0.005149,0.005149
51,468.325,0.13915,0.95291,1,0.15007,0.00505,0.00505,0.00505
52,476.781,0.12978,0.96293,1,0.14563,0.004951,0.004951,0.004951
53,486.009,0.12818,0.95291,1,0.15217,0.004852,0.004852,0.004852
54,497.151,0.1191,0.96092,1,0.13419,0.004753,0.004753,0.004753
55,508.319,0.11669,0.9509,1,0.13245,0.004654,0.004654,0.004654
56,519.593,0.11864,0.95792,1,0.13978,0.004555,0.004555,0.004555
57,530.653,0.11188,0.96092,1,0.14174,0.004456,0.004456,0.004456
58,542.253,0.10289,0.9499,1,0.15501,0.004357,0.004357,0.004357
59,553.503,0.10413,0.95691,1,0.14023,0.004258,0.004258,0.004258
60,564.783,0.10335,0.95691,1,0.13041,0.004159,0.004159,0.004159
61,576.227,0.09999,0.96393,1,0.13875,0.00406,0.00406,0.00406
62,587.522,0.0959,0.96192,1,0.1351,0.003961,0.003961,0.003961
63,598.835,0.0924,0.96593,1,0.1311,0.003862,0.003862,0.003862
64,610.234,0.08702,0.95691,1,0.14166,0.003763,0.003763,0.003763
65,621.248,0.08651,0.96092,1,0.13135,0.003664,0.003664,0.003664
66,631.798,0.08531,0.96192,1,0.12687,0.003565,0.003565,0.003565
67,642.782,0.08682,0.96393,1,0.12087,0.003466,0.003466,0.003466
68,655.091,0.07731,0.96493,1,0.11524,0.003367,0.003367,0.003367
69,667.471,0.08381,0.96794,1,0.12792,0.003268,0.003268,0.003268
70,679.775,0.07801,0.96693,1,0.12447,0.003169,0.003169,0.003169
71,691.692,0.08447,0.96894,1,0.11637,0.00307,0.00307,0.00307
72,700.904,0.07117,0.96293,1,0.11566,0.002971,0.002971,0.002971
73,709.501,0.07196,0.96393,1,0.11536,0.002872,0.002872,0.002872
74,718.146,0.06778,0.96192,1,0.12779,0.002773,0.002773,0.002773
75,726.897,0.06107,0.96293,1,0.12061,0.002674,0.002674,0.002674
76,735.711,0.05648,0.96493,1,0.12028,0.002575,0.002575,0.002575
77,744.186,0.06163,0.96794,1,0.11935,0.002476,0.002476,0.002476
78,752.91,0.05735,0.96794,1,0.12141,0.002377,0.002377,0.002377
79,761.424,0.05381,0.96593,1,0.11337,0.002278,0.002278,0.002278
80,770.197,0.06013,0.96794,1,0.11614,0.002179,0.002179,0.002179
81,778.912,0.05571,0.96493,1,0.11929,0.00208,0.00208,0.00208
82,787.773,0.05715,0.96794,1,0.11471,0.001981,0.001981,0.001981
83,796.159,0.05299,0.96593,1,0.11772,0.001882,0.001882,0.001882
84,804.975,0.05334,0.96593,1,0.12123,0.001783,0.001783,0.001783
85,813.734,0.05852,0.96593,1,0.11805,0.001684,0.001684,0.001684
86,822.317,0.04292,0.96794,1,0.11573,0.001585,0.001585,0.001585
87,831.26,0.04076,0.96794,1,0.11177,0.001486,0.001486,0.001486
88,840.231,0.04662,0.96894,1,0.11576,0.001387,0.001387,0.001387
89,848.734,0.04502,0.97094,1,0.11596,0.001288,0.001288,0.001288
90,857.384,0.04617,0.97194,1,0.10677,0.001189,0.001189,0.001189
91,904.468,0.04296,0.96994,1,0.11067,0.00109,0.00109,0.00109
92,913.614,0.04364,0.96693,1,0.10467,0.000991,0.000991,0.000991
93,922.389,0.04235,0.96693,1,0.10767,0.000892,0.000892,0.000892
94,931.163,0.04057,0.96794,1,0.10351,0.000793,0.000793,0.000793
95,940.033,0.03696,0.96994,1,0.1019,0.000694,0.000694,0.000694
96,948.691,0.03475,0.96894,1,0.09949,0.000595,0.000595,0.000595
97,957.506,0.03652,0.97094,1,0.10307,0.000496,0.000496,0.000496
98,966.396,0.03926,0.96994,1,0.09671,0.000397,0.000397,0.000397
99,975.128,0.03586,0.96894,1,0.10102,0.000298,0.000298,0.000298
100,983.922,0.03607,0.96894,1,0.09851,0.000199,0.000199,0.000199
